name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;919;0;1057;3075;1886;3075;1795;0
header;195;74;195;115;1877;115;1877;74
A;1019;378;1019;383;1057;383;1057;378
C;1468;691;1468;718;1495;718;1495;691
B;1152;727;1152;755;1182;755;1182;727
A;1707;1086;1707;1086;1707;1086;1707;1086
A;1706;1174;1706;1188;1715;1188;1715;1174
D;1153;1387;1153;1402;1164;1402;1164;1387
A;1708;1387;1708;1401;1717;1401;1717;1387
A;1003;1422;1003;1436;1013;1436;1013;1422
A;985;1424;985;1424;985;1424;985;1424
A;1334;1969;1334;2022;1374;2022;1374;1969
D;1383;1969;1383;2021;1424;2021;1424;1969
A;1043;2136;1043;2159;1060;2159;1060;2136
