name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;369;0;461;3069;1303;3069;1234;0
header;65;110;65;147;1745;147;1745;110
B;471;774;471;790;484;790;484;774
B;893;826;893;851;912;851;912;826
A;580;1210;580;1238;594;1238;594;1210
D;515;1355;515;1371;526;1371;526;1355
B;871;1446;871;1462;884;1462;884;1446
C;898;1532;898;1559;918;1559;918;1532
D;541;1578;541;1596;553;1596;553;1578
B;872;1758;872;1775;886;1775;886;1758
A;654;2036;654;2060;682;2060;682;2036
B;934;2627;934;2657;955;2657;955;2627
A;1142;2931;1142;2932;1144;2932;1144;2931
